point,doc
10,몰입감 최고 마녀2 너무 재미있었어용!
10,긴장감 있게 잘 봤네요 쿠키도 무조건 보고 나오세요ㅋㅋ
10,
10,"후반에 액션이 진짜 미쳤어요. 진구님의 연기가 일품입니다,"
10,끝날때까지 긴장감!!! 지루함을 느끼지 못할 영상미에 치이고 갑니다!!
10,
1,1408대1 경쟁률 뚫은것치곤...아니 진짜 뚫은건지 의심하면서 보게되는 영화...
10,"진짜 재밌었고, 전편보다 더 화려해진 액션신들 덕분에 잘 봤습니다!"
10,1편을 넘 재밌게 봐서 2편도 재밌게 봤습니다
8,기대 이상은 아니지만 그래도 재밌음. 3탄 기대
10,최근 3년간 최고의 영화
10,나 태어나서 본영화중 제일재밌었음 꿈에그리던영화임 스파이더맨 아이언맨 그런영화보더 훠얼씬 재밌음 진짜 역대급 너무최고최고입니다. 적극추천 슈퍼울트라울트라메가톤급 추천
10,가슴을 뻥 뚫어주는 액션영화 추천이요마지막까지 보고 쿠키영상 꼭 보세요3편도 기대합니다~
10,진짜너무재밌잖아ㅋㅋㅡㅡ;
10,"세번을 봤는데 볼때마다 새로운 게 보이는 영화.공포 영화적 요소가 없는건 아닌데 스릴러물에 더 가깝다고 봄. 영화개봉시기에 잡음이 있어서 묻혀가지고 너무 아쉬운영화입니다. 7점대 평점에 볼까말까 고민하지마시고 진짜 한번 봐보세요. 검은사제들보다 더 나으면 낫지, 못하지않고 중간중간 나오는 모든 복선들의 깔끔한 회수까지 진짜 일품입니다"
10,신시아배우님 데뷔작으로 눈도장 제대로 찍었네여ㅋㅋㅋ
9,안 좋은 평점 때문에 큰 기대하지 않고 봤는데 영상이랑 액션도 좋았고 옛 주인공 나오는 것도 좋았습니다.  4dx에서 봐서 더 좋게 본걸수도 있습니다.
10,역시 마녀는 오로지 구자윤뿐이라는걸 다시한번 느낌.김다미가 다했음.진짜 마지막 자윤등장으로 모든걸 정리함.소녀역은 한게없어 주인공이라 말하기도 민망...거기다 많은 등장인물중 1편 귀공자 만큼 매력있는 캐릭터가없어....마녀옆에 귀공자 돌려보내줘.
10,강추 강추 스토리 연기 짱짱 지루할 틈 없이 너무 너무 좋았어용 특히 배우 김다미님 좋아해용??
6,기대가 너무 커서 그런지 조금 아쉽네요.
2,아이유...선택이 이정도 인가욤 중간에 나옴
10,액션신 대박이에요.. 한순간도 지루하지 않앗슴니당 ㅎㅎ
10,
8,좀 옛날 영화같은 이야기 진행과 연출이지만 뭐 한 번 쯤 할 일 없을 때 보는 거 나쁘지 않습니다. 전 잘 봤습니다.
8,욕만 줄였어도 더 좋았을텐데 욕이 쓸데없이 너무 많습니다.
1,"대사도 오글거리고 쓸데없는 연출이 너무 많음, 밥을 많이 먹는다던가 그걸 부각시킬려고 남매끼리 갑분 욕하고 싸우는데 오그라들기만함. 액션신도 진부하고 1편에 비해 그냥 졸작수준의 영화입니다. 박은빈이라는 배우는 매력도 없고 연기도 못하는데 왜 계속 써주는지 궁금하네요, 그냥 굳이 극장가서 안봐도 되는 영화임."
10,서은수 이쁘고 액션 좋더라
6,첨엔 한참 지루하다가 볼만하니까 끝났네요 후... 마녀3때문에 마지막을 그렇게 끝낸건가욥...에혀 너무 기대를 했나봐요 김다미배우님이 연기를 잘하셔서 그나마 볼만합니다요
